data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,#country+code,#event+code,,#date+occurred,,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,
5162430,404,KEN6877,6877,4/30/2019,2019,1,Riots,Violent demonstration,Rioters (Kenya),,5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Baringo,Mogotio,Kisanana,Solai,0.0333,36.0333,1,Star (Kenya),National,"30 April: Squatters from Ndururumo farm in Solai, Nakuru county shot arrows and threw stones at the police to resist the eviction from the farm. They said they had been living on the farm for more than 50 years. [size=not reported]",0,1557247986,KEN
5162254,404,KEN6876,6876,4/25/2019,2019,1,Violence against civilians,Attack,Police Forces of Kenya (2013-),,1,Civilians (Kenya),Students (Kenya),7,17,Eastern Africa,Kenya,Homa Bay,Ndhiwa,Kanyamwa Kosewe,Ndhiwa,-0.7333,34.3667,1,Kenya Standard,National,25 April: A secondary school student was beaten and seriously injured by two police when he intervened the arrest of his classmate. ,0,1557247985,KEN
5146367,404,KEN6874,6874,4/23/2019,2019,1,Battles,Armed clash,Unidentified Communal Militia (Kenya),,4,Police Forces of Kenya (2013-),,1,14,Eastern Africa,Kenya,Samburu,Samburu North,Kirisia,Marti,1.4771,36.7236,1,Star (Kenya),National,"23 April: Police clashed with bandits in an operation to recover stolen cattle in Marti, Samburu. One police shot dead, three others seriously injured and two children abducted.",1,1556572283,KEN
5146368,404,KEN6875,6875,4/23/2019,2019,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Makueni,Kibwezi East,Kikumbulyu,Kibwezi,-2.4112,37.9652,1,Kenya Standard,National,23 April: Kibwezi residents held demonstration against Chinese company exhuming body parts from grave yard for road construction. [Size=No report],0,1556572283,KEN
5146366,404,KEN6873,6873,4/22/2019,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),KRC: Kenya Red Cross; Aid Workers (Kenya),7,37,Eastern Africa,Kenya,Lamu,Lamu West,Shella,Lamu,-2.2717,40.902,1,Daily Nation (Kenya),National,"22 April: A red cross worker was shot dead by unidentified armed group in Lamu, Lamu west",1,1556572283,KEN
5130941,404,KEN6869,6869,4/19/2019,2019,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),Government of Kenya (2013-),7,57,Eastern Africa,Kenya,Murang'a,Kiharu,Township,Muranga,-0.7166,37.15,1,Star (Kenya),National,19 April: An angry mob set fire to the house of a court clerk based in Muranga over his decision to block the burial place of his son after commiting suicide. The clerk died in the fire. [size=no report],1,1555958739,KEN
5130940,404,KEN6868,6868,4/14/2019,2019,1,Riots,Mob violence,Rioters (Sudan),Refugees/IDPs (Sudan),5,Rioters (Sudan),Refugees/IDPs (Sudan),5,55,Eastern Africa,Kenya,Turkana,Turkana West,Kakuma,Kakuma,3.717,34.867,1,Radio Tamazuj,Regional,14 April: More than 50 people injured in the inter clan fight between Sudan refugees in Kakuma camp. The fight was an extension of an earlier dispute over love relationship between a boy and a girl from both communities. [size=no report],0,1555958739,KEN
5126961,404,KEN6867,6867,04/12/2019,2019,1,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (2013-),,1,13,Eastern Africa,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,1,Kenya Standard,National,"12 April: Armed men abducted 2 Cuban doctors in Mandera after killing their body guard, a police officer.",1,1555346747,KEN
5126960,404,KEN6866,6866,04/08/2019,2019,1,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Unidentified Armed Group (Kenya),,3,13,Eastern Africa,Kenya,Machakos,Machakos Town,Machakos Central,Machakos,-1.5167,37.2667,1,Star (Kenya),National,08 April: Kenyan police exchanged fire with a group of five gunmen who were pretending to be policemen and imposing illegal roadblock on the Machakos road. 3 killed.,3,1555346747,KEN
5119601,404,KEN6864,6864,04/06/2019,2019,1,Riots,Mob violence,Rioters (Kenya),,5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Bomet,Bomet East,Nyangores,Bomet,-0.7833,35.35,1,Star (Kenya),National,06 April: People on their way to a funeral clashed with police officers who stopped them for traffic control. They pelted the officers with stones and damaged vehicles. The police officers fired shots in the air to disperse the crowds. [size=no report],0,1554749632,KEN
5119602,404,KEN6865,6865,04/06/2019,2019,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Busia,Butula,Marachi East,Butula,0.3392,34.3342,1,Star (Kenya),National,06 April: Butula town community burned down Malambisia police camp following the death of a man in the prison cell. [size=no report],0,1554749632,KEN
5119600,404,KEN6863,6863,04/02/2019,2019,1,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,4,Civilians (Kenya),,7,47,Eastern Africa,Kenya,Elgeyo-Marakwet,Marakwet East,Sambirir,Elegeyo-Marakwet,0.99,35.55,1,Kenya Standard,National,"02 April: ""Bandits"" shot dead two schoolchildren while raiding livestock in Marakawet East, Elgenyo.",2,1554749632,KEN
5119599,404,KEN6862,6862,04/01/2019,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),Aid Workers (Kenya),7,37,Eastern Africa,Kenya,Kericho,Ainamoi,Kipchebor,Kericho,-0.3677,35.2831,1,Kenya Standard,National,01 April: A Daadab refugee camp worker was killed by unidentified armed men with his wife and son in Kericho town.,3,1554749632,KEN
5105353,404,KEN6861,6861,3/30/2019,2019,1,Protests,Peaceful protest,Protesters (Kenya),Taxi Drivers (Kenya),6,,,0,60,Eastern Africa,Kenya,Narok,Narok North,Narok Town,Narok,-1.0783,35.8601,1,Kenya Standard,National,30 March: Matatu (14 seats taxi) operators held demonstration over the closing of their new stage by the county adminstration under unclear circumstances. [Size=Hundreds],0,1554141488,KEN
5105352,404,KEN6860,6860,3/27/2019,2019,1,Riots,Mob violence,Police Forces of Kenya (2013-),,1,Rioters (Kenya),,5,15,Eastern Africa,Kenya,Kilifi,Rabai,Rabai/Kisurutini,Mazeras,-3.9667,39.55,2,Kenya Standard,National,"27 March: A group of people ran to escape from the police and threw rocks at them in Rabai sub-county. Police fired at them, killing a 17 years old man [Size=10]",1,1554141488,KEN
5105351,404,KEN6859,6859,3/26/2019,2019,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,1,Kenya Standard,National,26 March: Nairobi residents held demonstration over the slow pace of the road construction. [Size=Hundreds],0,1554141488,KEN
5022284,404,KEN6858,6858,3/23/2019,2019,1,Protests,Protest with intervention,Protesters (Kenya),,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Bungoma,Kanduyi,Marakaru/Tuuti,Kibabii,0.6199,34.5275,1,Star (Kenya),National,22-23 March: Kibabi University students held demonstration after one of the students was injured by a car inside the school. Police used tear gas to disperse the protesters. [size=Hundreds],0,1553544834,KEN
5022283,404,KEN6857,6857,3/22/2019,2019,1,Protests,Protest with intervention,Protesters (Kenya),,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Bungoma,Kanduyi,Marakaru/Tuuti,Kibabii,0.6199,34.5275,1,Star (Kenya),National,22-23 March: Kibabi University students held demonstration after one of the students was injured by a car inside the school. Police used tear gas to disperse the protesters. [size=Hundreds],0,1553544834,KEN
5022282,404,KEN6856,6856,3/18/2019,2019,1,Protests,Protest with intervention,Protesters (Kenya),,6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,1,Star (Kenya),National,18 March: Members of Ekeza Sacco held demonstration over the misuse of funds by Sacco officials. Police used tear gas to disperse the protesters. [Size=Hundreds],0,1553544834,KEN
5016975,404,KEN6855,6855,3/16/2019,2019,1,Protests,Excessive force against protesters,Police Forces of Kenya (2013-),,1,Protesters (Kenya),,6,16,Eastern Africa,Kenya,Kakamega,Lurambi,Sheywe,Kakamega,0.2833,34.75,1,Kenya Standard,National,16 March: At least five people seriously injured as police tried to disperse demonstrators who were protesting over the killing of a school teacher by the police. [Size=several],0,1552932719,KEN
5016974,404,KEN6854,6854,3/14/2019,2019,1,Violence against civilians,Attack,Police Forces of Kenya (2013-),,1,Civilians (Kenya),Teachers (Kenya),7,17,Eastern Africa,Kenya,Kakamega,Lurambi,Sheywe,Kakamega,0.2833,34.75,1,Kenya Standard,National,14 March: A police officer shot and killed a school teacher in Kakamega for unknown reason,1,1552932719,KEN
5016973,404,KEN6853,6853,3/13/2019,2019,1,Battles,Armed clash,Oromo Ethnic Militia (Kenya),,4,Gabra Ethnic Militia (Kenya),,4,44,Eastern Africa,Kenya,Marsabit,Saku,Marsabit Central,Saku,2.3333,37.9833,1,Star (Kenya),National,13 March: 3 people killed in ethnic clash between Borana Oromo and Gabra tribes in Saku.,3,1552932719,KEN
5016972,404,KEN6852,6852,03/12/2019,2019,1,Riots,Mob violence,Rioters (Kenya),,5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Nyamira,West Mugirango,Bogichora,Nyamira,-0.5666,34.9167,1,Daily Nation (Kenya),National,"12 March: A mob beat and threw stones at police officers in Nyamira village, leaving four injured including two seriously and property damaged. [Size=no report]",0,1552932719,KEN
4555008,404,KEN6850,6850,03/08/2019,2019,1,Violence against civilians,Attack,Police Forces of Kenya (2013-),,1,Civilians (Kenya),,7,17,Eastern Africa,Kenya,Elgeyo-Marakwet,Marakwet East,Sambirir,Elegeyo-Marakwet,0.99,35.55,1,Star (Kenya),National,08 March: Police officer shot and killed a civilian in Elgeyo-Marakwet. Witnesses said that the police officer and a man had a quarrel over woman,1,1552576388,KEN
4555009,404,KEN6851,6851,03/08/2019,2019,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.6667,1,Star (Kenya),National,08 March: Mombasa Women protested over the inequality of women and Men in Kenya. [size=over 50],0,1552576388,KEN
4555289,404,KEN6849,6849,03/07/2019,2019,1,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (2013-),,1,13,Eastern Africa,Kenya,Kiambu,Limuru,Limuru East,Limuru,-1.1,36.65,1,Star (Kenya),National,07 March: Unidentified armed group stopped police car and started firing at them. The police fired back and killed two of them and left two wounded in Limuru,2,1552576388,KEN
